SorghumGene,Ortholog
Sobic.001G405400,GRMZM5G850640
Sobic.001G404700,GRMZM2G006370
Sobic.001G405150,GRMZM2G452695
Sobic.001G405100,GRMZM2G135456
Sobic.001G404800,GRMZM2G006085
Sobic.010G247000,GRMZM2G098918
Sobic.008G175600,AC212976_3_FG003
Sobic.008G175700,AC212976_3_FG003
Sobic.001G459900,GRMZM2G107872
Sobic.006G148000,GRMZM2G048295
Sobic.001G126900,GRMZM2G480954
Sobic.004G194000,GRMZM2G131727
Sobic.003G186200,GRMZM2G071322
Sobic.003G186600,GRMZM2G071113
Sobic.003G186500,GRMZM2G071154
Sobic.005G008800,GRMZM2G460090
Sobic.002G039900,GRMZM2G704330
Sobic.006G201000,GRMZM2G024898
Sobic.006G201400,GRMZM2G149556
Sobic.006G138200,GRMZM2G366065
Sobic.010G207800,GRMZM2G131309
Sobic.010G209100,GRMZM2G111711
Sobic.010G209200,GRMZM2G111711
Sobic.006G181000,GRMZM2G039455
Sobic.010G103600,GRMZM2G415022
Sobic.008G124301,GRMZM2G036427
Sobic.008G124400,GRMZM2G036427
Sobic.009G197800,GRMZM2G102863
Sobic.009G198000,GRMZM2G124799
Sobic.009G197000,GRMZM2G140996
Sobic.009G197100,GRMZM2G140996
Sobic.009G197400,GRMZM2G140996
Sobic.009G197600,GRMZM2G141026
Sobic.009G196100,GRMZM2G435475
Sobic.009G195600,GRMZM2G176217
Sobic.001G046800,GRMZM2G013206
Sobic.001G042901,GRMZM2G116878
Sobic.001G043100,GRMZM2G417217
Sobic.001G043700,GRMZM2G064503
Sobic.001G043800,GRMZM2G134227
Sobic.001G044000,GRMZM2G138330
Sobic.001G045000,GRMZM2G104125
Sobic.001G045400,GRMZM2G004500
Sobic.001G045900,GRMZM2G092746
Sobic.001G045800,GRMZM2G111609
Sobic.001G046100,GRMZM2G092663
Sobic.001G046300,GRMZM2G092663
Sobic.002G013600,GRMZM2G026189
Sobic.001G428200,GRMZM2G151582
Sobic.004G188701,GRMZM2G049372
Sobic.004G189100,GRMZM2G040481
Sobic.002G258100,GRMZM2G097129
Sobic.001G154300,GRMZM2G324276
Sobic.003G287900,GRMZM2G078756
Sobic.003G053700,GRMZM2G021243
Sobic.008G151300,GRMZM2G443345
Sobic.009G159200,GRMZM2G178797
Sobic.002G117700,AC203753_4_FG006
Sobic.002G117900,GRMZM2G100828
Sobic.003G056600,GRMZM2G016232
Sobic.003G057100,GRMZM2G016232
Sobic.003G057366,GRMZM2G016232
Sobic.001G032100,GRMZM2G055802
Sobic.001G131800,GRMZM2G080764
Sobic.001G131300,GRMZM2G351304
Sobic.001G130400,GRMZM2G038217
Sobic.001G130700,GRMZM2G063298
Sobic.006G276300,GRMZM2G434557
Sobic.009G025800,GRMZM2G020091
Sobic.009G025900,GRMZM2G165805
Sobic.001G115400,GRMZM5G845962
Sobic.006G048700,GRMZM2G026793
Sobic.003G257400,GRMZM2G366520
Sobic.003G095400,GRMZM2G090584
Sobic.003G094700,GRMZM2G336865
Sobic.003G095100,GRMZM2G336865
Sobic.003G095200,GRMZM2G476699
Sobic.003G095600,GRMZM2G104829
Sobic.004G280500,GRMZM2G024948
Sobic.006G068200,GRMZM2G062504
Sobic.006G068300,GRMZM2G075081
Sobic.007G130500,GRMZM2G116831
Sobic.004G177700,GRMZM2G136178
Sobic.004G170200,GRMZM2G451314
Sobic.001G345400,GRMZM2G049070
Sobic.001G346300,GRMZM2G085825
Sobic.007G088000,GRMZM2G144407
Sobic.006G221101,GRMZM2G302927
Sobic.009G140800,GRMZM5G833124
Sobic.003G061600,GRMZM2G383303
Sobic.003G337300,GRMZM2G098078
Sobic.003G337100,GRMZM2G399433
Sobic.003G336900,GRMZM2G465771
Sobic.003G336500,GRMZM5G846140
Sobic.010G160900,GRMZM2G333083
Sobic.006G106300,GRMZM2G430362
Sobic.001G289900,GRMZM2G072117
Sobic.003G308900,GRMZM2G049654
Sobic.002G250700,GRMZM2G400444
Sobic.006G172800,GRMZM2G162271
Sobic.003G363600,GRMZM2G060216
Sobic.003G364900,GRMZM2G141647
Sobic.003G346901,GRMZM2G326933
Sobic.003G347000,GRMZM2G326933
Sobic.003G347100,GRMZM2G326933
Sobic.003G347200,GRMZM2G326933
Sobic.003G346800,AC196780_4_FG003
Sobic.002G239700,GRMZM2G149051
Sobic.001G151900,GRMZM2G134976
Sobic.001G152800,GRMZM2G353497
Sobic.006G135300,GRMZM2G703002
Sobic.006G135100,GRMZM2G095598
Sobic.001G453200,GRMZM2G164974
Sobic.001G218800,GRMZM2G042598
Sobic.001G476500,GRMZM2G006631
Sobic.001G476300,GRMZM2G132367
Sobic.001G476100,GRMZM2G075712
Sobic.001G499500,GRMZM2G140339
Sobic.001G499701,GRMZM2G073373
Sobic.001G499800,GRMZM2G073373
Sobic.001G499900,GRMZM2G173826
Sobic.002G292900,GRMZM2G102243
Sobic.003G390900,GRMZM2G406951
Sobic.003G391000,GRMZM2G406951
Sobic.004G018100,GRMZM5G891373
Sobic.001G415200,GRMZM2G026910
Sobic.001G236300,GRMZM2G036765
Sobic.003G418100,GRMZM2G396550
Sobic.001G396100,GRMZM2G179155
Sobic.001G395800,GRMZM2G092442
Sobic.006G193600,GRMZM2G014009
Sobic.006G194100,GRMZM2G024517
Sobic.006G193700,GRMZM2G098099
Sobic.006G194000,GRMZM2G322817
Sobic.006G193900,GRMZM2G163067
Sobic.006G194200,GRMZM2G322817
Sobic.006G194300,GRMZM2G322817
Sobic.006G194700,GRMZM2G024312
Sobic.009G146800,GRMZM2G020859
Sobic.009G147200,GRMZM2G020859
Sobic.009G147500,GRMZM2G020859
Sobic.009G147000,GRMZM2G020859
Sobic.009G178000,GRMZM2G701218
Sobic.009G177901,GRMZM2G462717
Sobic.001G304201,GRMZM2G037255
Sobic.001G304100,GRMZM2G037255
Sobic.001G302600,GRMZM2G094639
Sobic.010G059000,AC207265_3_FG002
Sobic.010G059400,GRMZM2G325561
Sobic.009G239301,GRMZM5G855337
Sobic.009G239500,GRMZM5G855337
Sobic.009G239000,GRMZM5G891280
Sobic.001G476000,GRMZM2G095915
Sobic.001G474400,GRMZM2G006781
Sobic.006G174850,GRMZM2G099130
Sobic.010G077300,GRMZM2G005013
Sobic.010G052700,GRMZM2G001799
Sobic.003G240700,GRMZM5G824843
Sobic.001G351800,GRMZM2G370510
Sobic.001G351900,GRMZM2G370510
Sobic.006G137600,GRMZM2G041876
Sobic.003G221700,GRMZM2G114399
Sobic.006G095800,GRMZM2G051355
Sobic.006G096000,GRMZM2G051355
Sobic.006G096200,GRMZM2G051355
Sobic.006G096300,GRMZM2G051355
Sobic.003G098200,GRMZM2G076104
Sobic.010G276200,GRMZM2G325653
Sobic.004G188100,GRMZM2G176304
Sobic.007G038500,GRMZM2G358161
Sobic.007G039400,GRMZM2G134756
Sobic.003G065300,GRMZM2G065471
Sobic.003G065400,GRMZM2G065471
Sobic.003G065600,GRMZM2G065471
Sobic.003G065501,GRMZM2G445261
Sobic.004G283300,GRMZM2G434203
Sobic.003G410700,GRMZM2G056702
Sobic.003G410800,GRMZM5G898668
Sobic.002G155500,GRMZM2G173756
Sobic.006G229901,GRMZM2G115705
Sobic.006G229300,GRMZM2G419318
Sobic.006G229500,GRMZM2G419318
Sobic.006G229800,GRMZM2G419318
Sobic.006G229100,GRMZM2G470694
Sobic.006G229200,GRMZM2G470694
Sobic.006G228833,GRMZM2G419290
Sobic.006G229600,GRMZM2G419290
Sobic.002G342100,GRMZM2G179885
Sobic.002G262200,GRMZM5G854301
Sobic.009G249500,GRMZM2G067877
Sobic.006G002201,GRMZM2G058300
Sobic.003G229600,GRMZM2G105604
Sobic.004G231300,GRMZM2G140893
Sobic.005G167300,GRMZM2G118082
Sobic.004G070200,GRMZM2G134439
Sobic.006G161900,GRMZM5G825909
Sobic.004G070100,GRMZM2G018962
Sobic.006G161800,AC234521_1_FG004
Sobic.006G159200,GRMZM2G123202
Sobic.003G282400,GRMZM2G079727
Sobic.009G213000,GRMZM2G177386
Sobic.008G000600,GRMZM2G156240
Sobic.003G015000,GRMZM2G060991
Sobic.003G015100,GRMZM2G061005
Sobic.008G000700,GRMZM2G097454
Sobic.009G232200,GRMZM2G021794
Sobic.007G210900,AC234203_1_FG010
Sobic.002G216600,GRMZM2G172320
Sobic.002G119400,GRMZM2G071877
Sobic.001G180200,GRMZM2G011269
Sobic.005G200800,GRMZM2G339848
Sobic.006G050400,GRMZM2G025042
Sobic.001G216200,GRMZM2G131577
Sobic.003G153300,GRMZM2G165746
Sobic.004G242000,GRMZM2G415327
Sobic.002G227700,GRMZM2G003246
Sobic.002G228400,GRMZM2G133836
Sobic.002G227900,GRMZM5G831102
Sobic.003G376700,GRMZM2G135743
Sobic.010G043200,GRMZM2G020216
Sobic.002G225200,GRMZM2G139522
Sobic.002G225300,GRMZM2G139535
Sobic.002G225400,GRMZM2G065928
Sobic.007G224100,GRMZM2G361362
Sobic.001G140200,GRMZM2G061101
Sobic.002G426800,GRMZM2G113039
Sobic.001G373900,GRMZM2G097843
Sobic.003G143700,GRMZM2G045534
Sobic.004G117400,GRMZM2G059887
Sobic.009G034400,GRMZM2G028014
Sobic.006G240200,GRMZM2G114008
Sobic.002G205500,GRMZM2G142898
Sobic.002G205900,GRMZM2G084248
Sobic.007G167400,AC234528_1_FG006
Sobic.007G135800,GRMZM2G459391
Sobic.001G035200,GRMZM2G061662
Sobic.003G288600,GRMZM2G031308
Sobic.001G035100,GRMZM2G061626
Sobic.002G277100,GRMZM5G852968
Sobic.001G035300,GRMZM2G061897
Sobic.001G035000,GRMZM2G361210
Sobic.001G034700,GRMZM2G060702
Sobic.002G276900,GRMZM2G091586
Sobic.001G196100,GRMZM2G123624
Sobic.002G293400,GRMZM2G146173
Sobic.008G166050,GRMZM5G836977
Sobic.001G042500,GRMZM2G127404
Sobic.005G138300,GRMZM2G153150
Sobic.001G034600,GRMZM2G012280
Sobic.001G034500,GRMZM2G148370
Sobic.001G029300,GRMZM2G138382
Sobic.006G237000,GRMZM2G022563
Sobic.005G052700,GRMZM2G028046
Sobic.002G420600,GRMZM2G131026
Sobic.004G087600,GRMZM2G057642
Sobic.002G421300,GRMZM2G410766
Sobic.002G420800,GRMZM2G469380
Sobic.002G420900,GRMZM2G469380
Sobic.004G087700,GRMZM2G057622
Sobic.004G087800,GRMZM2G057622
Sobic.004G281000,GRMZM2G160565
Sobic.003G405700,GRMZM2G022159
Sobic.002G422300,GRMZM2G151811
Sobic.007G078100,GRMZM2G043749
Sobic.004G116400,GRMZM2G120408
Sobic.010G095600,AC212353_4_FG004
Sobic.001G398500,GRMZM5G819965
Sobic.003G093700,GRMZM2G432679
Sobic.003G106300,GRMZM2G083111
Sobic.003G106400,GRMZM2G083111
Sobic.003G106600,GRMZM2G083111
Sobic.003G106800,GRMZM2G083111
Sobic.003G107400,GRMZM2G083111
Sobic.003G107600,GRMZM2G083111
Sobic.009G214200,GRMZM5G899656
Sobic.004G058500,GRMZM2G180211
Sobic.002G242200,GRMZM2G176407
Sobic.003G222900,GRMZM2G156069
Sobic.001G023500,GRMZM2G058089
Sobic.004G287300,GRMZM2G005909
Sobic.001G023800,GRMZM2G057973
Sobic.001G473400,GRMZM2G070716
Sobic.004G296100,GRMZM2G056889
Sobic.002G268900,GRMZM2G069025
Sobic.001G056200,GRMZM2G118594
Sobic.010G078700,GRMZM2G062318
Sobic.003G343000,GRMZM2G032800
Sobic.002G122500,GRMZM2G029249
Sobic.010G001500,GRMZM2G154229
Sobic.001G298400,GRMZM2G154580
Sobic.001G298500,GRMZM2G154565
Sobic.001G472800,GRMZM2G155242
Sobic.002G297800,GRMZM2G096709
Sobic.003G317100,GRMZM2G082745
Sobic.009G180000,GRMZM2G117582
Sobic.007G223600,GRMZM2G164062
Sobic.004G111000,GRMZM2G010075
Sobic.002G297700,GRMZM2G096824
Sobic.004G111100,GRMZM2G159759
Sobic.007G132900,GRMZM2G106133
Sobic.003G389900,GRMZM2G346132
Sobic.007G200000,GRMZM2G337190
Sobic.006G242500,GRMZM2G032209
Sobic.003G238900,GRMZM2G094736
Sobic.003G238800,GRMZM2G375602
Sobic.007G078600,GRMZM2G442195
Sobic.003G389700,GRMZM2G137120
Sobic.003G375100,GRMZM2G120814
Sobic.002G420100,GRMZM2G017894
Sobic.002G213800,GRMZM2G099049
Sobic.009G017200,GRMZM2G180519
Sobic.003G419100,GRMZM2G053273
Sobic.003G213900,GRMZM2G058021
Sobic.010G123400,GRMZM2G027665
Sobic.008G108500,GRMZM5G896756
Sobic.003G375000,GRMZM2G019266
Sobic.007G139700,GRMZM2G067067
Sobic.004G256000,GRMZM5G834354
Sobic.010G209400,GRMZM2G135300
Sobic.006G149600,GRMZM2G122614
Sobic.003G419500,GRMZM2G132509
Sobic.003G213800,GRMZM2G058050
Sobic.009G017400,GRMZM5G899828
Sobic.006G160800,GRMZM2G054795
Sobic.001G106300,GRMZM2G017709
Sobic.003G374850,GRMZM2G111441
Sobic.008G108400,GRMZM2G166572
Sobic.003G419900,GRMZM2G132506
Sobic.003G374700,GRMZM2G120262
Sobic.002G409800,GRMZM2G081682
Sobic.010G042600,GRMZM2G102521
Sobic.003G025600,GRMZM2G435338
Sobic.008G108300,GRMZM2G166537
Sobic.009G017600,GRMZM2G034724
Sobic.003G420201,GRMZM2G076621
Sobic.006G132700,GRMZM2G051921
Sobic.006G132200,GRMZM2G051943
Sobic.006G132300,GRMZM2G051943
Sobic.006G132400,GRMZM2G051943
Sobic.006G132500,GRMZM2G051943
Sobic.006G132100,GRMZM2G052175
Sobic.009G017732,GRMZM2G035502
Sobic.008G016900,GRMZM2G180155
Sobic.006G126500,GRMZM2G130109
Sobic.001G382000,GRMZM2G056355
Sobic.006G131900,GRMZM2G089596
Sobic.002G214800,GRMZM2G116614
Sobic.003G134000,GRMZM2G130366
Sobic.001G382100,GRMZM2G056424
Sobic.005G115500,GRMZM2G139880
Sobic.009G077400,GRMZM2G051630
Sobic.001G382400,GRMZM2G100288
Sobic.003G254600,GRMZM2G037644
Sobic.006G184400,GRMZM2G080992
Sobic.006G131400,GRMZM2G057113
Sobic.004G302800,GRMZM5G868047
Sobic.009G015000,GRMZM5G885744
Sobic.001G399200,GRMZM2G122965
Sobic.003G260300,GRMZM5G849099
Sobic.006G131000,GRMZM5G876621
Sobic.004G202100,GRMZM2G116872
Sobic.001G399400,GRMZM2G427418
Sobic.001G464800,GRMZM2G007130
Sobic.006G266600,GRMZM2G149958
Sobic.005G047100,GRMZM2G126190
Sobic.001G399900,GRMZM2G377215
Sobic.006G247100,GRMZM2G019404
Sobic.006G115600,GRMZM2G151434
Sobic.007G192800,GRMZM2G407249
Sobic.003G021200,GRMZM2G102795
Sobic.005G157300,GRMZM2G138131
Sobic.003G127600,GRMZM2G002830
Sobic.002G358800,GRMZM2G057023
Sobic.001G056700,GRMZM2G019446
Sobic.001G485400,GRMZM2G178852
Sobic.003G005800,GRMZM2G123558
Sobic.003G020500,GRMZM5G830300
Sobic.001G343100,GRMZM2G009435
Sobic.001G343300,GRMZM2G009435
Sobic.001G343400,GRMZM2G009435
Sobic.001G343601,GRMZM2G009435
Sobic.001G343832,GRMZM2G009435
Sobic.003G127500,GRMZM2G019810
Sobic.001G061500,GRMZM2G120674
Sobic.009G164100,GRMZM2G012052
Sobic.005G017000,GRMZM2G099754
Sobic.002G360500,GRMZM2G181219
Sobic.009G135600,GRMZM2G047607
Sobic.009G112600,GRMZM2G007195
Sobic.001G428700,GRMZM2G015281
Sobic.001G402701,GRMZM2G417082
Sobic.006G246200,GRMZM2G059740
Sobic.006G246300,GRMZM2G076212
Sobic.010G033300,GRMZM5G829544
Sobic.001G402400,GRMZM2G104534
Sobic.001G402300,GRMZM2G153450
Sobic.001G057300,GRMZM2G068952
Sobic.006G012900,GRMZM2G021849
Sobic.007G065400,GRMZM2G012761
Sobic.001G151000,GRMZM2G092433
Sobic.003G248100,GRMZM2G122335
Sobic.001G057400,GRMZM2G068936
Sobic.001G061600,GRMZM2G049547
Sobic.001G370900,GRMZM2G469162
Sobic.007G166900,GRMZM5G804575
Sobic.002G029300,GRMZM2G180004
Sobic.010G081800,GRMZM2G033413
Sobic.010G088400,GRMZM2G090226
Sobic.002G090200,GRMZM2G082924
Sobic.002G090300,GRMZM2G173063
Sobic.007G022700,GRMZM2G050810
Sobic.010G088500,GRMZM2G090226
Sobic.010G088700,GRMZM2G090226
Sobic.002G253000,GRMZM2G386163
Sobic.004G350200,GRMZM2G043997
Sobic.009G062000,GRMZM5G886688
Sobic.010G103500,GRMZM2G039325
Sobic.010G079800,GRMZM2G066373
Sobic.002G394600,GRMZM2G130398
Sobic.004G228400,GRMZM2G045883
Sobic.006G267200,GRMZM2G150098
Sobic.004G198400,GRMZM2G003384
Sobic.010G260800,GRMZM2G017081
Sobic.002G067800,GRMZM2G156692
Sobic.004G228500,GRMZM2G045927
Sobic.004G228700,AC220927_3_FG001
Sobic.004G070800,GRMZM2G145500
Sobic.002G068100,GRMZM2G458665
Sobic.002G068300,GRMZM2G104505
Sobic.002G194100,GRMZM2G067752
Sobic.001G312500,GRMZM2G057768
Sobic.005G121500,GRMZM2G143373
Sobic.006G243400,GRMZM2G081886
Sobic.002G232100,GRMZM2G117217
Sobic.002G231900,GRMZM2G416625
Sobic.002G236600,GRMZM2G089850
Sobic.003G359100,GRMZM5G814089
Sobic.002G236200,GRMZM2G089501
Sobic.008G173900,GRMZM2G028700
Sobic.001G423700,GRMZM2G057646
Sobic.001G513000,GRMZM2G176523
Sobic.001G512800,GRMZM2G176397
Sobic.001G082600,GRMZM2G074501
Sobic.001G518000,GRMZM2G109566
Sobic.002G413400,GRMZM2G174204
Sobic.006G085601,GRMZM2G003720
Sobic.009G163800,GRMZM5G850966
Sobic.009G169900,AC209257_4_FG003
Sobic.003G144800,GRMZM2G454056
Sobic.001G512600,GRMZM5G891266
Sobic.004G023900,GRMZM2G370852
Sobic.001G145600,GRMZM2G039639
Sobic.001G145700,GRMZM2G039639
Sobic.003G412400,GRMZM2G392932
Sobic.003G387600,GRMZM2G096458
Sobic.002G413500,GRMZM2G174246
Sobic.001G145500,GRMZM2G039373
Sobic.003G412600,GRMZM2G092679
Sobic.004G009200,GRMZM2G163866
Sobic.004G009400,GRMZM2G163866
Sobic.004G009500,GRMZM2G163866
Sobic.009G102700,GRMZM2G156754
Sobic.006G087100,GRMZM2G021834
Sobic.004G058000,AC207043_3_FG002
Sobic.009G141800,GRMZM2G070199
Sobic.003G074400,GRMZM2G085713
Sobic.009G102900,GRMZM2G084767
Sobic.001G512500,AC155624_2_FG011
Sobic.008G140200,GRMZM2G077024
Sobic.001G099000,GRMZM2G131522
Sobic.008G030900,GRMZM5G898755
Sobic.009G187400,GRMZM2G013970
Sobic.004G259000,GRMZM2G382341
Sobic.002G323000,GRMZM2G382413
Sobic.003G267900,GRMZM2G051683
Sobic.002G414700,GRMZM2G063617
Sobic.004G258900,GRMZM2G531719
Sobic.004G258800,GRMZM2G382345
Sobic.003G074900,GRMZM2G037134
Sobic.001G412400,GRMZM2G338037
Sobic.001G118300,GRMZM2G100650
Sobic.004G310600,GRMZM2G021369
Sobic.003G075100,GRMZM2G037036
Sobic.004G328300,GRMZM2G420432
Sobic.002G350500,GRMZM2G384386
Sobic.004G259700,GRMZM2G158568
Sobic.005G074500,GRMZM2G151050
Sobic.005G074100,GRMZM2G139621
Sobic.007G187200,GRMZM2G053027
Sobic.005G088900,GRMZM2G133757
Sobic.001G444700,GRMZM2G116823
Sobic.001G444500,GRMZM2G116846
Sobic.006G097700,GRMZM2G127173
Sobic.002G121100,GRMZM2G471269
Sobic.002G121300,GRMZM2G471269
Sobic.008G032100,GRMZM2G054481
Sobic.008G032200,GRMZM2G036685
Sobic.001G244600,GRMZM2G324390
Sobic.001G357900,GRMZM2G001288
Sobic.004G047400,GRMZM2G011888
Sobic.003G327700,GRMZM2G438551
Sobic.010G017800,GRMZM5G871262
Sobic.004G082200,GRMZM2G382052
Sobic.004G082500,GRMZM2G055789
Sobic.003G255200,GRMZM2G076064
Sobic.002G041800,GRMZM2G006716
Sobic.002G042000,GRMZM2G006716
Sobic.002G042100,GRMZM2G164454
Sobic.002G042300,GRMZM2G320298
Sobic.002G042200,GRMZM2G398996
Sobic.009G026200,GRMZM5G826979
Sobic.008G118200,GRMZM2G174803
Sobic.007G216300,GRMZM2G024668
Sobic.010G108500,GRMZM2G107886
Sobic.004G259101,GRMZM2G085049
Sobic.003G197500,GRMZM2G070961
Sobic.001G300400,GRMZM2G021621
Sobic.004G185900,GRMZM2G070708
Sobic.001G213300,GRMZM2G162758
Sobic.001G456100,GRMZM2G173067
Sobic.003G296300,GRMZM2G141299
Sobic.003G214400,GRMZM2G022642
Sobic.003G126800,GRMZM5G884058
Sobic.009G225500,GRMZM2G181104
Sobic.003G403500,GRMZM2G038512
Sobic.006G139100,GRMZM2G352129
Sobic.001G300500,GRMZM2G021427
Sobic.001G300700,GRMZM2G021427
Sobic.001G010900,GRMZM2G022248
Sobic.003G230900,GRMZM2G026930
Sobic.003G231000,GRMZM2G026930
Sobic.002G308000,GRMZM2G010714
Sobic.002G255700,GRMZM2G128935
Sobic.002G256000,GRMZM2G128935
Sobic.001G433100,GRMZM2G050825
Sobic.001G434100,GRMZM2G136513
Sobic.002G256300,GRMZM2G105999
Sobic.006G073400,GRMZM2G113646
Sobic.003G252400,GRMZM2G069018
Sobic.007G167800,AC234528_1_FG005
Sobic.003G267300,AC233882_1_FG003
Sobic.003G018600,GRMZM2G386608
Sobic.002G157000,GRMZM2G110548
Sobic.001G005600,GRMZM2G047774
Sobic.004G170900,GRMZM2G088543
Sobic.002G355300,GRMZM2G022313
Sobic.001G092000,GRMZM2G377131
Sobic.003G018400,GRMZM2G386584
Sobic.003G009900,GRMZM2G170047
Sobic.003G010000,GRMZM2G170047
Sobic.003G010100,GRMZM2G170047
Sobic.003G010200,GRMZM2G170047
Sobic.003G010300,GRMZM2G170047
Sobic.007G193900,GRMZM2G114904
Sobic.001G092500,GRMZM2G131629
Sobic.001G092600,GRMZM2G128617
Sobic.010G031400,GRMZM2G131421
Sobic.010G031600,GRMZM2G131421
Sobic.010G031100,GRMZM2G147399
Sobic.010G031900,GRMZM2G147399
Sobic.010G032000,GRMZM2G147399
Sobic.010G032100,GRMZM2G147399
Sobic.001G389700,GRMZM2G128644
Sobic.004G247200,GRMZM2G385999
Sobic.007G047400,GRMZM2G474769
Sobic.007G068900,GRMZM2G134613
Sobic.004G257200,GRMZM2G452580
