Gene,Count
Zm00001eb413100,10
Zm00001eb312870,389
Zm00001eb297530,7
Zm00001eb289320,429
Zm00001eb004670,3912
Zm00001eb146230,892
Zm00001eb148320,14
Zm00001eb216500,123
Zm00001eb234270,3412
Zm00001eb395560,565
Zm00001eb330850,278
Zm00001eb035030,101
Zm00001eb335200,10
Zm00001eb319460,482
Zm00001eb164350,1402
Zm00001eb292830,2
Zm00001eb391130,3576
Zm00001eb339390,3883
Zm00001eb353470,31
Zm00001eb040160,10
Zm00001eb308280,866
Zm00001eb050660,405
Zm00001eb128930,371
Zm00001eb169470,3
Zm00001eb254860,1663
Zm00001eb244830,21
Zm00001eb057540,965
Zm00001eb309360,17
Zm00001eb432100,13
Zm00001eb135910,68
Zm00001eb353320,3
Zm00001eb328570,30
Zm00001eb248640,159
Zm00001eb075230,3617
Zm00001eb330910,17
Zm00001eb249840,901
Zm00001eb100770,1191
Zm00001eb399030,947
Zm00001eb388180,204
Zm00001eb340790,1215
Zm00001eb279580,1098
Zm00001eb242090,339
Zm00001eb147710,2660
Zm00001eb033630,4
Zm00001eb080670,7
Zm00001eb112840,472
Zm00001eb154170,4072
Zm00001eb208830,53
Zm00001eb416980,365
Zm00001eb193790,1614
Zm00001eb094330,1
Zm00001eb104260,1166
Zm00001eb379550,181
Zm00001eb320470,1529
Zm00001eb327140,1171
Zm00001eb364360,797
Zm00001eb136350,1187
Zm00001eb281570,384
Zm00001eb333350,4427
Zm00001eb360120,883
Zm00001eb252180,7
Zm00001eb379340,3233
Zm00001eb280490,740
Zm00001eb356440,1
Zm00001eb176740,828
Zm00001eb375580,3684
Zm00001eb002660,3671
Zm00001eb415640,782
Zm00001eb180800,44
Zm00001eb407690,1249
Zm00001eb214750,252
Zm00001eb418630,4
Zm00001eb255160,1318
Zm00001eb199110,656
Zm00001eb109820,147
Zm00001eb173070,1493
Zm00001eb202150,5
Zm00001eb388300,915
Zm00001eb431760,192
Zm00001eb208200,3
Zm00001eb101410,64
Zm00001eb062640,1512
Zm00001eb218500,13
Zm00001eb216410,2035
Zm00001eb143080,429
Zm00001eb325550,66
Zm00001eb118120,54
Zm00001eb344000,89
Zm00001eb041860,1938
Zm00001eb160610,3389
Zm00001eb036040,330
Zm00001eb317460,707
Zm00001eb150840,4812
Zm00001eb108760,1542
Zm00001eb314500,6471
Zm00001eb369190,44
Zm00001eb027800,1977
Zm00001eb359630,1894
Zm00001eb024680,1135
Zm00001eb332030,71
Zm00001eb270470,1771
Zm00001eb245070,497
Zm00001eb040070,2629
Zm00001eb142770,3298
Zm00001eb095110,2386
Zm00001eb117090,54
Zm00001eb203940,1340
Zm00001eb421120,4
Zm00001eb237340,163
Zm00001eb020390,49
Zm00001eb275080,2303
Zm00001eb123570,487
Zm00001eb038010,3917
Zm00001eb161950,225
Zm00001eb353230,387
Zm00001eb075320,2649
Zm00001eb364110,1895
Zm00001eb090510,4356
Zm00001eb063610,7015
Zm00001eb172020,1439
Zm00001eb071920,2728
Zm00001eb179290,18
Zm00001eb008010,3116
Zm00001eb330710,3225
Zm00001eb213600,1
Zm00001eb189840,15
Zm00001eb071190,2711
Zm00001eb040830,7
Zm00001eb012440,1047
Zm00001eb050860,4
Zm00001eb113220,1
Zm00001eb219550,213
Zm00001eb243510,978
Zm00001eb201930,1447
Zm00001eb162130,849
Zm00001eb122270,2965
Zm00001eb266750,112
Zm00001eb225570,4965
Zm00001eb265630,382
Zm00001eb071780,19
Zm00001eb099980,6
Zm00001eb037600,2873
Zm00001eb260590,292
Zm00001eb136060,16
Zm00001eb253350,3712
Zm00001eb291610,228
Zm00001eb222650,16
Zm00001eb328280,790
Zm00001eb277900,2
Zm00001eb108930,110
Zm00001eb323880,272
Zm00001eb248900,64
Zm00001eb157260,205
Zm00001eb319390,2348
Zm00001eb212940,862
Zm00001eb433040,285
Zm00001eb368970,2
Zm00001eb367660,265
Zm00001eb189900,1955
Zm00001eb041890,2815
Zm00001eb088080,5
Zm00001eb275130,567
Zm00001eb150140,1142
Zm00001eb395480,1844
Zm00001eb264080,43
Zm00001eb243450,1765
Zm00001eb107170,2423
Zm00001eb291140,1793
Zm00001eb349080,4351
Zm00001eb389540,5648
Zm00001eb054480,5255
Zm00001eb133000,758
Zm00001eb031700,934
Zm00001eb399180,328
Zm00001eb202260,3671
Zm00001eb211350,21
Zm00001eb233420,2164
Zm00001eb142500,146
Zm00001eb314890,1703
Zm00001eb037290,524
Zm00001eb389960,891
Zm00001eb053460,34
Zm00001eb214840,1693
Zm00001eb108240,7
Zm00001eb191940,3924
Zm00001eb049880,5
Zm00001eb246430,7
Zm00001eb399930,4160
Zm00001eb075150,75
Zm00001eb156040,164
Zm00001eb310260,4674
Zm00001eb250940,84
Zm00001eb314630,453
Zm00001eb113950,1166
Zm00001eb081760,3
Zm00001eb359500,19
Zm00001eb037480,4555
Zm00001eb408080,1241
Zm00001eb332300,85
Zm00001eb307700,15
Zm00001eb186490,218
Zm00001eb243930,2946
Zm00001eb174990,180
Zm00001eb362740,99
Zm00001eb363940,1593
Zm00001eb199430,4139
Zm00001eb129510,49
Zm00001eb082150,3091
Zm00001eb042490,211
Zm00001eb101130,131
Zm00001eb192960,2516
Zm00001eb041070,1925
Zm00001eb093560,144
Zm00001eb010280,3221
Zm00001eb327220,72
Zm00001eb312620,5289
Zm00001eb269810,10
Zm00001eb288420,1741
Zm00001eb390020,897
Zm00001eb144450,2339
Zm00001eb339360,595
Zm00001eb107670,616
Zm00001eb195020,238
Zm00001eb264780,187
Zm00001eb071830,1
Zm00001eb395380,1432
Zm00001eb171050,5
Zm00001eb249750,4
Zm00001eb244720,3656
Zm00001eb148290,1010
Zm00001eb001460,7
Zm00001eb255970,5153
Zm00001eb415520,394
Zm00001eb360510,2343
Zm00001eb357780,10
Zm00001eb070890,46
Zm00001eb016100,439
Zm00001eb289480,5
Zm00001eb221620,1730
Zm00001eb293860,307
Zm00001eb290900,5
Zm00001eb107730,3884
Zm00001eb374110,1618
Zm00001eb118790,1133
Zm00001eb135740,2161
Zm00001eb306220,2576
Zm00001eb179590,645
Zm00001eb366690,3109
Zm00001eb046540,819
Zm00001eb173250,16
Zm00001eb342850,3778
Zm00001eb242030,2767
Zm00001eb146650,181
Zm00001eb086410,226
Zm00001eb020840,2
Zm00001eb395100,464
Zm00001eb101630,2
Zm00001eb062460,2477
Zm00001eb047760,1621
Zm00001eb287100,373
Zm00001eb133640,230
Zm00001eb395650,10
Zm00001eb246520,36
Zm00001eb273120,12
Zm00001eb428070,3
Zm00001eb332400,220
Zm00001eb251650,264
Zm00001eb408860,5279
Zm00001eb023780,1760
Zm00001eb100690,802
Zm00001eb078620,4
Zm00001eb427970,85
Zm00001eb293250,723
Zm00001eb215610,13
Zm00001eb274340,574
Zm00001eb063390,2420
Zm00001eb431350,2391
Zm00001eb370960,2667
Zm00001eb006480,53
Zm00001eb313350,95
Zm00001eb142960,976
Zm00001eb074460,1531
Zm00001eb231720,2721
Zm00001eb352570,1324
Zm00001eb369060,1591
Zm00001eb429450,764
Zm00001eb060990,3
Zm00001eb346880,4329
Zm00001eb433000,382
Zm00001eb312160,1432
Zm00001eb103370,2805
Zm00001eb192440,603
Zm00001eb198710,1508
Zm00001eb073010,25
Zm00001eb337530,4
Zm00001eb288360,938
Zm00001eb296430,3429
Zm00001eb264930,318
Zm00001eb289490,2668
Zm00001eb097990,10
Zm00001eb271520,372
Zm00001eb312890,178
Zm00001eb309590,642
Zm00001eb005020,3505
Zm00001eb422840,147
Zm00001eb034980,62
Zm00001eb104640,1309
Zm00001eb149570,216
Zm00001eb217350,156
Zm00001eb098960,437
Zm00001eb135750,2322
Zm00001eb248800,90
Zm00001eb232050,144
Zm00001eb207450,2
Zm00001eb244670,4
Zm00001eb129690,4235
Zm00001eb051620,154
Zm00001eb316260,1227
Zm00001eb380990,1325
Zm00001eb372490,398
Zm00001eb259650,9
Zm00001eb081720,7
Zm00001eb315870,2
Zm00001eb335060,252
Zm00001eb392230,1
Zm00001eb351690,1116
Zm00001eb249290,3607
Zm00001eb332340,2261
Zm00001eb078770,566
Zm00001eb260000,2084
Zm00001eb386770,2413
Zm00001eb385610,2292
Zm00001eb053560,858
Zm00001eb274210,1176
Zm00001eb325760,317
Zm00001eb365420,210
Zm00001eb395640,2238
Zm00001eb366540,1671
Zm00001eb399830,416
Zm00001eb101880,40
Zm00001eb149810,3589
Zm00001eb218120,1
Zm00001eb145660,1
Zm00001eb197370,1
Zm00001eb371020,3052
Zm00001eb116410,1
Zm00001eb085420,18
Zm00001eb429870,2094
Zm00001eb023870,3746
Zm00001eb091630,5
Zm00001eb142540,4134
Zm00001eb295830,2905
Zm00001eb056780,11
Zm00001eb202570,722
Zm00001eb384950,4315
Zm00001eb199530,5
Zm00001eb170530,396
Zm00001eb029390,2938
Zm00001eb061300,50
Zm00001eb328650,14
Zm00001eb302890,2
Zm00001eb136130,1100
Zm00001eb303690,2204
Zm00001eb004190,282
Zm00001eb077410,449
Zm00001eb165340,3
Zm00001eb094740,5
Zm00001eb275730,346
Zm00001eb051120,756
Zm00001eb232000,6
Zm00001eb172880,58
Zm00001eb023210,253
Zm00001eb050790,1175
Zm00001eb173960,311
Zm00001eb355010,1328
Zm00001eb150010,4178
Zm00001eb136980,432
Zm00001eb288270,42
Zm00001eb118970,4
Zm00001eb324300,47
Zm00001eb332190,1411
Zm00001eb175500,3211
Zm00001eb433050,738
Zm00001eb157270,222
Zm00001eb015630,1438
Zm00001eb136720,1481
Zm00001eb143060,3825
Zm00001eb129860,1367
Zm00001eb147220,12
Zm00001eb299280,2325
Zm00001eb316800,5920
Zm00001eb032670,1
Zm00001eb188380,2
Zm00001eb218170,363
Zm00001eb175190,81
Zm00001eb252160,2426
Zm00001eb431440,2
Zm00001eb432520,1
Zm00001eb407120,11
Zm00001eb179000,3339
Zm00001eb363810,2687
Zm00001eb407990,2752
Zm00001eb417620,1996
Zm00001eb206760,1220
Zm00001eb273020,5
Zm00001eb067190,450
Zm00001eb049160,373
Zm00001eb028430,4296
Zm00001eb427790,5217
Zm00001eb309600,237
Zm00001eb299750,3
Zm00001eb432460,4
Zm00001eb426670,304
Zm00001eb371980,1547
Zm00001eb300360,2761
Zm00001eb152350,27
Zm00001eb405850,13
Zm00001eb158000,3966
Zm00001eb218880,1158
Zm00001eb301280,1512
Zm00001eb134520,830
Zm00001eb294830,5421
Zm00001eb079630,11
Zm00001eb256290,2256
Zm00001eb037460,3542
Zm00001eb125330,2683
Zm00001eb278470,2162
Zm00001eb291470,194
Zm00001eb301520,3270
Zm00001eb237820,230
Zm00001eb015440,1300
Zm00001eb419680,653
Zm00001eb370770,903
Zm00001eb122740,4021
Zm00001eb386830,1148
Zm00001eb056980,2208
Zm00001eb240750,3446
Zm00001eb032680,1
Zm00001eb406030,862
Zm00001eb433430,2708
Zm00001eb075900,1208
Zm00001eb280480,1650
Zm00001eb172240,3
Zm00001eb099540,501
Zm00001eb113710,24
Zm00001eb228170,11
Zm00001eb265240,2972
Zm00001eb397720,2195
Zm00001eb214740,9
Zm00001eb227180,578
Zm00001eb198470,4495
Zm00001eb389660,563
Zm00001eb209880,1845
Zm00001eb067160,1808
Zm00001eb423330,2924
Zm00001eb323440,165
Zm00001eb338940,2060
Zm00001eb183200,2580
Zm00001eb105640,224
Zm00001eb136080,573
Zm00001eb106720,2732
Zm00001eb107920,6
Zm00001eb004020,181
Zm00001eb349730,1965
Zm00001eb358680,25
Zm00001eb331000,1018
Zm00001eb430970,11
Zm00001eb158520,4376
Zm00001eb250580,2915
Zm00001eb215560,10
Zm00001eb130510,3
Zm00001eb284250,1742
Zm00001eb366880,51
Zm00001eb101350,3
Zm00001eb227240,2605
Zm00001eb425230,138
Zm00001eb138920,1717
Zm00001eb005690,1673
Zm00001eb356930,3452
Zm00001eb275820,534
Zm00001eb157490,511
Zm00001eb007000,3161
Zm00001eb097930,20
Zm00001eb298580,1
Zm00001eb250390,94
Zm00001eb413140,3940
Zm00001eb268800,462
Zm00001eb280600,1444
Zm00001eb164500,107
Zm00001eb050760,1108
Zm00001eb160740,2737
Zm00001eb173990,540
Zm00001eb000470,4
Zm00001eb142030,75
Zm00001eb269150,3400
Zm00001eb349120,1
Zm00001eb159750,2109
Zm00001eb183190,61
Zm00001eb424710,1313
Zm00001eb224800,2008
Zm00001eb258290,2460
Zm00001eb249320,143
Zm00001eb228670,1419
Zm00001eb402220,8
Zm00001eb379300,4
Zm00001eb259370,8
Zm00001eb316740,700
Zm00001eb213430,904
Zm00001eb054810,478
Zm00001eb249470,671
Zm00001eb244400,2766
Zm00001eb335680,4
Zm00001eb424040,7
Zm00001eb266370,1002
Zm00001eb009490,188
Zm00001eb045640,169
Zm00001eb288050,624
Zm00001eb102850,1668
Zm00001eb159610,774
Zm00001eb327040,3452
Zm00001eb367300,426
Zm00001eb023620,1500
Zm00001eb239680,1
Zm00001eb248380,4404
Zm00001eb128310,1934
Zm00001eb415010,1767
Zm00001eb032870,3
Zm00001eb430310,4
Zm00001eb095290,800
Zm00001eb282240,21
Zm00001eb018460,1104
Zm00001eb207760,781
Zm00001eb041540,3
Zm00001eb110030,28
Zm00001eb389770,161
Zm00001eb005440,782
Zm00001eb284410,151
Zm00001eb073910,1573
Zm00001eb009140,838
Zm00001eb403140,20
Zm00001eb361200,2134
Zm00001eb106630,11
Zm00001eb139160,2249
Zm00001eb286490,3015
Zm00001eb404260,2015
Zm00001eb245030,3
Zm00001eb320810,2560
Zm00001eb145340,2177
Zm00001eb185680,3194
Zm00001eb256650,11
Zm00001eb246600,1796
Zm00001eb109860,127
Zm00001eb082430,1
Zm00001eb060680,2483
Zm00001eb197040,71
Zm00001eb220660,3
Zm00001eb373390,689
Zm00001eb352580,3045
Zm00001eb309420,183
Zm00001eb433840,427
Zm00001eb328230,1510
Zm00001eb160100,1124
Zm00001eb279010,200
Zm00001eb320950,3323
Zm00001eb402950,13
Zm00001eb403750,311
Zm00001eb255670,7
Zm00001eb405590,1006
Zm00001eb061030,1
Zm00001eb102260,83
Zm00001eb364850,2977
Zm00001eb309370,4193
Zm00001eb378590,884
Zm00001eb208910,1
Zm00001eb015570,659
Zm00001eb333460,1284
Zm00001eb409800,3897
Zm00001eb231360,2480
Zm00001eb023010,2759
Zm00001eb103060,50
Zm00001eb336820,4684
Zm00001eb024330,3071
Zm00001eb393510,2
Zm00001eb358260,40
Zm00001eb226740,1854
Zm00001eb295700,5228
Zm00001eb112680,50
Zm00001eb427650,3048
Zm00001eb030990,4081
Zm00001eb428940,180
Zm00001eb106490,423
Zm00001eb322280,1110
Zm00001eb320200,478
Zm00001eb243050,1552
Zm00001eb234870,551
Zm00001eb213550,167
Zm00001eb084300,674
Zm00001eb369560,1859
Zm00001eb373660,5
Zm00001eb042400,944
Zm00001eb324650,1
Zm00001eb179690,910
Zm00001eb069140,6
Zm00001eb216910,43
Zm00001eb169920,4630
Zm00001eb291350,52
Zm00001eb191020,230
Zm00001eb207010,154
Zm00001eb385190,613
Zm00001eb002010,1496
Zm00001eb071590,3837
Zm00001eb146690,5368
Zm00001eb428800,3131
Zm00001eb318730,123
Zm00001eb165000,4515
Zm00001eb313580,630
Zm00001eb393300,2051
Zm00001eb360000,18
Zm00001eb099470,1502
Zm00001eb224680,157
Zm00001eb425790,4606
Zm00001eb066270,6
Zm00001eb124630,991
Zm00001eb002480,1149
Zm00001eb100380,1808
Zm00001eb264150,2
Zm00001eb123510,642
Zm00001eb170030,4
Zm00001eb027860,60
Zm00001eb399390,21
Zm00001eb253280,1227
Zm00001eb293740,514
Zm00001eb105770,3
Zm00001eb251200,1278
Zm00001eb273570,43
Zm00001eb118750,3
Zm00001eb062760,2371
Zm00001eb347710,242
Zm00001eb084180,2993
Zm00001eb187880,7
Zm00001eb272280,13
Zm00001eb028160,306
Zm00001eb376740,1119
Zm00001eb031300,2331
Zm00001eb062170,3940
Zm00001eb059460,156
Zm00001eb236380,1
Zm00001eb407530,2507
Zm00001eb381600,1879
Zm00001eb349010,2596
Zm00001eb332640,820
Zm00001eb135920,1043
Zm00001eb121380,2151
Zm00001eb403020,1035
Zm00001eb278680,5
Zm00001eb252220,48
Zm00001eb073790,416
Zm00001eb160120,888
Zm00001eb289080,3
Zm00001eb121600,405
Zm00001eb427010,8
Zm00001eb324600,3128
Zm00001eb001670,1504
Zm00001eb254560,2
Zm00001eb415730,3
Zm00001eb077700,285
Zm00001eb037440,273
Zm00001eb322390,913
Zm00001eb238710,1338
Zm00001eb319090,80
Zm00001eb058610,15
Zm00001eb129490,496
Zm00001eb207650,855
Zm00001eb285050,1426
Zm00001eb355240,651
Zm00001eb195420,1858
Zm00001eb045630,15
Zm00001eb042240,3660
Zm00001eb056050,990
Zm00001eb243000,12
Zm00001eb153470,275
Zm00001eb051370,2235
Zm00001eb316730,1706
Zm00001eb259870,2657
Zm00001eb413890,1177
Zm00001eb403720,9
Zm00001eb209480,2909
Zm00001eb319350,3611
Zm00001eb330690,633
Zm00001eb169410,3
Zm00001eb075250,4657
Zm00001eb211700,456
Zm00001eb169340,32
Zm00001eb068520,3174
Zm00001eb130260,483
Zm00001eb378150,1334
Zm00001eb359740,536
Zm00001eb291930,68
Zm00001eb035640,574
Zm00001eb102540,7
Zm00001eb347600,1215
Zm00001eb101420,4682
Zm00001eb279120,177
Zm00001eb253580,4471
Zm00001eb197620,2244
Zm00001eb365880,16
Zm00001eb031210,2909
Zm00001eb035050,2872
Zm00001eb121290,131
Zm00001eb226590,2
Zm00001eb197170,162
Zm00001eb388270,1019
Zm00001eb167310,4561
Zm00001eb187120,3393
Zm00001eb119900,6
Zm00001eb307400,3527
Zm00001eb387280,91
Zm00001eb063930,15
Zm00001eb228320,180
Zm00001eb015750,2087
Zm00001eb405450,1
Zm00001eb058460,896
Zm00001eb110370,3832
Zm00001eb198620,3453
Zm00001eb195650,2088
Zm00001eb126610,31
Zm00001eb388280,2
Zm00001eb126140,1018
Zm00001eb223920,2309
Zm00001eb302750,1
Zm00001eb027720,6185
Zm00001eb072870,220
Zm00001eb337350,1404
Zm00001eb187820,166
Zm00001eb176440,1364
Zm00001eb411700,29
Zm00001eb248930,4756
Zm00001eb164490,886
Zm00001eb178550,3148
Zm00001eb364730,5162
Zm00001eb119000,1751
Zm00001eb159340,246
Zm00001eb081280,266
Zm00001eb374760,62
Zm00001eb019780,54
Zm00001eb131420,1377
Zm00001eb052670,2325
Zm00001eb053870,2533
Zm00001eb067270,1604
Zm00001eb393670,492
Zm00001eb159410,60
Zm00001eb118950,368
Zm00001eb430640,3081
Zm00001eb352500,56
Zm00001eb303810,8
Zm00001eb235510,2904
Zm00001eb052120,1
Zm00001eb416370,234
Zm00001eb152940,1555
Zm00001eb340140,2032
Zm00001eb170540,5178
Zm00001eb416800,283
Zm00001eb189510,3581
Zm00001eb372660,17
Zm00001eb032650,127
Zm00001eb216040,27
Zm00001eb064860,2489
Zm00001eb147970,1577
Zm00001eb359470,1629
Zm00001eb273750,158
Zm00001eb074830,275
Zm00001eb172290,2314
Zm00001eb015490,2393
Zm00001eb303220,88
Zm00001eb258400,31
Zm00001eb421220,2537
Zm00001eb044660,1180
Zm00001eb009550,2
Zm00001eb274260,1
Zm00001eb234120,5261
Zm00001eb377480,932
Zm00001eb408800,561
Zm00001eb175840,2639
Zm00001eb045780,328
Zm00001eb055830,28
Zm00001eb033910,1109
Zm00001eb041290,804
Zm00001eb152420,31
Zm00001eb031670,4
Zm00001eb169130,481
Zm00001eb050320,33
Zm00001eb066640,956
Zm00001eb185290,2201
Zm00001eb157860,3443
Zm00001eb331250,1
Zm00001eb352860,25
Zm00001eb271970,1394
Zm00001eb428740,2
Zm00001eb427850,43
Zm00001eb139220,217
