SorghumGene,Sorghum_family,Sorghum_Action_used,Maize_Activator_v3ID,Maize_Activator_geneID,Maize_Activator_Maize_Action,Maize_NonActivator_v3ID,Maize_NonActivator_geneID,Maize_NonActivator_Maize_Action,N_Maize_Duplicates
Sobic.004G283300,ERF,No activity,GRMZM2G000520,Zm00001eb187190,Activator,GRMZM2G434203,Zm00001eb250530,No activity,2
Sobic.005G117400,WRKY,Activator,GRMZM2G054125,Zm00001eb169470,Activator,GRMZM2G106560,Zm00001eb112840,No activity,2
Sobic.006G092100,NAC,No activity,GRMZM2G099144,Zm00001eb082040,Activator,GRMZM2G435824,Zm00001eb423160,No activity,2
Sobic.006G115700,WRKY,No activity,GRMZM5G816457,Zm00001eb079950,Activator,GRMZM2G031963,Zm00001eb424710,No activity,2
Sobic.006G149600,ARF,Activator,GRMZM2G005284,Zm00001eb426740,Activator,GRMZM2G122614,Zm00001eb077170,No activity,2
Sobic.006G165100,Trihelix,No activity,GRMZM2G427087,Zm00001eb427790,Activator,GRMZM2G320827,Zm00001eb075070,No activity,2
Sobic.006G166100,GATA,Activator,GRMZM2G421212,Zm00001eb427850,Activator,GRMZM2G077002,Zm00001eb075150,No activity,2
Sobic.006G203400,GRF,Activator,GRMZM2G129147,Zm00001eb430310,Activator,GRMZM2G041223,Zm00001eb071830,No activity,2
Sobic.006G210300,ERF,No activity,GRMZM2G068967,Zm00001eb071190,Activator,GRMZM2G438202,Zm00001eb430640,No activity,2
Sobic.006G240500,ERF,No activity,GRMZM2G174917,Zm00001eb068530,Activator,GRMZM2G421033,Zm00001eb432090,No activity,2
Sobic.006G240700,AP2,No activity,GRMZM2G174784,Zm00001eb068520,Activator,GRMZM2G076602,Zm00001eb432100,No activity,2
Sobic.006G247700,SBP,Activator,GRMZM2G036297,Zm00001eb067740,Activator,GRMZM2G058588,Zm00001eb432520,No activity,2
Sobic.006G278900,ARF,No activity,GRMZM2G023813,Zm00001eb434380,Activator,GRMZM5G808366,Zm00001eb076420,No activity,2
Sobic.007G013800,MIKC_MADS,Activator,GRMZM2G105387,Zm00001eb173990,Activator,GRMZM2G117961,Zm00001eb260590,No activity,2
Sobic.007G018100,NAC,No activity,GRMZM2G069047,Zm00001eb173840,Activator,GRMZM2G092465,Zm00001eb260850,No activity,2
Sobic.007G039200,MYB_related,No activity,GRMZM2G157306,Zm00001eb172880,Activator,GRMZM2G108892,Zm00001eb416370,No activity,2
Sobic.007G135900,bHLH,No activity,GRMZM2G526668,Zm00001eb179590,Activator,GRMZM2G107276,Zm00001eb041610,No activity,2
Sobic.007G139200,ZF-HD,No activity,GRMZM2G353734,Zm00001eb179960,Activator,GRMZM2G438438,Zm00001eb041290,No activity,2
Sobic.007G180300,HSF,No activity,GRMZM2G164909,Zm00001eb037600,Activator,GRMZM2G098696,Zm00001eb198620,No activity,2
Sobic.007G189400,bHLH,Activator,GRMZM5G882527,Zm00001eb036990,Activator,GRMZM2G145579,Zm00001eb175540,No activity,2
Sobic.007G225600,Trihelix,Activator,GRMZM5G850092,Zm00001eb199110,Activator,GRMZM2G379179,Zm00001eb033570,No activity,2
Sobic.008G051400,GATA,No activity,GRMZM2G118214,Zm00001eb407810,Activator,GRMZM2G067171,Zm00001eb139160,No activity,2
Sobic.008G051700,GATA,Activator,GRMZM2G324131,Zm00001eb407830,Activator,GRMZM2G067171,Zm00001eb139160,No activity,2
Sobic.008G083200,bZIP,No activity,GRMZM2G088140,Zm00001eb411700,Activator,GRMZM2G074373,Zm00001eb133640,No activity,2
Sobic.008G129300,bZIP,No activity,GRMZM2G479885,Zm00001eb028430,Activator,GRMZM2G160902,Zm00001eb136980,No activity,2
Sobic.008G136100,Dof,No activity,GRMZM2G176063,Zm00001eb136460,Activator,GRMZM2G123900,Zm00001eb029230,No activity,2
Sobic.008G168300,NF-YA,No activity,GRMZM2G361842,Zm00001eb031690,Activator,GRMZM2G104396,Zm00001eb136080,No activity,2
Sobic.009G011000,GRAS,Activator,GRMZM2G089636,Zm00001eb266930,Activator,GRMZM2G346706,Zm00001eb355860,No activity,2
Sobic.009G011100,GRAS,No activity,GRMZM2G089636,Zm00001eb266930,Activator,GRMZM2G346706,Zm00001eb355860,No activity,2
Sobic.009G039100,MYB_related,Activator,GRMZM2G121111,Zm00001eb417830,Activator,GRMZM2G111306,Zm00001eb354390,No activity,2
Sobic.009G039200,MYB_related,Activator,GRMZM2G422083,Zm00001eb417840,Activator,GRMZM2G111306,Zm00001eb354390,No activity,2
Sobic.009G039500,MYB_related,Activator,GRMZM2G422083,Zm00001eb417840,Activator,GRMZM2G111306,Zm00001eb354390,No activity,2
Sobic.009G039600,MYB_related,Activator,GRMZM2G422083,Zm00001eb417840,Activator,GRMZM2G111306,Zm00001eb354390,No activity,2
Sobic.009G039700,MYB_related,Activator,GRMZM2G422083,Zm00001eb417840,Activator,GRMZM2G111306,Zm00001eb354390,No activity,2
Sobic.009G039900,MYB_related,No activity,GRMZM2G030403,Zm00001eb417880,Activator,GRMZM2G111306,Zm00001eb354390,No activity,2
Sobic.009G040000,MYB_related,No activity,GRMZM2G030403,Zm00001eb417880,Activator,GRMZM2G111306,Zm00001eb354390,No activity,2
Sobic.009G040100,MYB_related,No activity,GRMZM2G030403,Zm00001eb417880,Activator,GRMZM2G111306,Zm00001eb354390,No activity,2
Sobic.009G073500,bHLH,Activator,GRMZM2G132550,Zm00001eb284130,Activator,GRMZM2G175480,Zm00001eb347270,No activity,2
Sobic.009G073800,bHLH,No activity,GRMZM2G132550,Zm00001eb284130,Activator,GRMZM2G175480,Zm00001eb347270,No activity,2
Sobic.009G140500,NAC,No activity,GRMZM2G134687,Zm00001eb349120,Activator,GRMZM2G147867,Zm00001eb288270,No activity,2
Sobic.009G148100,MYB,No activity,GRMZM2G431156,Zm00001eb348760,Activator,GRMZM2G077789,Zm00001eb289320,No activity,2
Sobic.009G151600,ERF,Activator,GRMZM2G457562,Zm00001eb348560,Activator,GRMZM2G100727,Zm00001eb289170,No activity,2
Sobic.009G159900,TALE,No activity,GRMZM2G074645,Zm00001eb347710,Activator,GRMZM2G125976,Zm00001eb289480,No activity,2
Sobic.009G166200,NF-YB,No activity,GRMZM5G804893,Zm00001eb289850,Activator,GRMZM2G064426,Zm00001eb351690,No activity,2
Sobic.009G184300,ERF,No activity,GRMZM2G066158,Zm00001eb352570,Activator,GRMZM2G020016,Zm00001eb291720,No activity,2
Sobic.009G199300,LBD,No activity,GRMZM2G386674,Zm00001eb292980,Activator,GRMZM2G073044,Zm00001eb353230,No activity,2
Sobic.009G200500,HB-PHD,Activator,GRMZM2G094935,Zm00001eb293860,Activator,GRMZM2G136369,Zm00001eb353320,No activity,2
Sobic.009G206800,WRKY,No activity,GRMZM2G401521,Zm00001eb293420,Activator,GRMZM2G015433,Zm00001eb353670,No activity,2
Sobic.009G238500,ERF,Activator,GRMZM5G846057,Zm00001eb296430,Activator,GRMZM2G100982,Zm00001eb344200,No activity,2
Sobic.010G030200,HD-ZIP,No activity,GRMZM2G134260,Zm00001eb377480,Activator,GRMZM2G068672,Zm00001eb270270,No activity,2
Sobic.010G081800,bZIP,Activator,GRMZM2G033413,Zm00001eb373300,Activator,GRMZM2G008166,Zm00001eb279120,No activity,2
Sobic.010G191900,ARR-B,Activator,GRMZM2G401835,Zm00001eb275780,Activator,GRMZM2G360523,Zm00001eb388280,No activity,2
Sobic.010G192200,ARR-B,Activator,GRMZM2G401835,Zm00001eb275780,Activator,GRMZM2G360523,Zm00001eb388280,No activity,2
Sobic.010G261700,SRS,No activity,GRMZM2G097683,Zm00001eb227800,Activator,GRMZM2G108798,Zm00001eb272500,No activity,2
