SorghumGene,Sorghum_family,Sorghum_Action,Sorghum_RecatAction,Ortholog,Maize_gene_ID,Maize_Action,Maize_RecatAction
Sobic.001G428700,ERF,No activity,No Activity,GRMZM2G015281,Zm00001eb011550,Activator,Activator
Sobic.001G437300,LBD,No activity,No Activity,GRMZM2G110913,Zm00001eb010570,No activity,No Activity
Sobic.001G437300,LBD,No activity,No Activity,GRMZM2G150594,Zm00001eb398670,Activator,
Sobic.001G440800,MYB_related,Activator,,GRMZM2G085427,Zm00001eb010280,No activity,
Sobic.001G440800,MYB_related,Activator,,GRMZM2G152319,Zm00001eb399030,Activator,Activator
Sobic.002G029400,NAC,Activator,Activator,GRMZM2G479980,Zm00001eb299720,Activator,Activator
Sobic.002G029400,NAC,Activator,Activator,GRMZM5G803888,Zm00001eb117730,No activity,
Sobic.002G233800,HD-ZIP,Activator,,GRMZM2G041127,Zm00001eb101280,No activity,
Sobic.002G233800,HD-ZIP,Activator,,GRMZM2G056600,Zm00001eb315750,Activator,
Sobic.002G253000,NAC,Activator,,GRMZM2G008374,Zm00001eb102160,No activity,
Sobic.002G253000,NAC,Activator,,GRMZM2G386163,Zm00001eb317170,Activator,
Sobic.002G259600,NAC,No activity,,GRMZM2G054277,Zm00001eb317890,No activity,
Sobic.002G259600,NAC,No activity,,GRMZM2G179049,Zm00001eb102540,Activator,
Sobic.002G272900,HD-ZIP,No activity,No Activity,GRMZM2G034113,Zm00001eb103330,Activator,
Sobic.002G272900,HD-ZIP,No activity,No Activity,GRMZM2G041462,Zm00001eb319390,No activity,No Activity
Sobic.002G287400,Nin-like,No activity,,GRMZM2G048582,Zm00001eb104260,No activity,
Sobic.002G287400,Nin-like,No activity,,GRMZM2G053298,Zm00001eb320950,Activator,
Sobic.002G354900,GRAS,Activator,,GRMZM2G098517,Zm00001eb325750,No activity,
Sobic.002G354900,GRAS,Activator,,GRMZM2G431309,Zm00001eb107910,Activator,
Sobic.002G357800,GRAS,Activator,,GRMZM2G019060,Zm00001eb108090,No activity,
Sobic.002G357800,GRAS,Activator,,GRMZM2G172657,Zm00001eb326020,Activator,
Sobic.002G369800,NF-YB,Activator,,GRMZM2G180947,Zm00001eb108760,No activity,
Sobic.002G369800,NF-YB,Activator,,GRMZM2G384528,Zm00001eb327140,Activator,
Sobic.002G418200,B3,Activator,,GRMZM2G158162,Zm00001eb330690,Activator,
Sobic.002G418200,B3,Activator,,GRMZM2G172621,Zm00001eb111570,No activity,
Sobic.003G031100,bHLH,Activator,Activator,GRMZM2G333582,Zm00001eb337860,Activator,
Sobic.003G031100,bHLH,Activator,Activator,GRMZM2G397755,Zm00001eb120960,No activity,
Sobic.003G076500,MYB,No activity,,GRMZM2G020772,Zm00001eb124630,Activator,
Sobic.003G076500,MYB,No activity,,GRMZM2G079458,Zm00001eb335690,No activity,
Sobic.003G076600,MYB_related,No activity,No Activity,GRMZM2G020772,Zm00001eb124630,Activator,
Sobic.003G076600,MYB_related,No activity,No Activity,GRMZM2G176568,Zm00001eb335680,No activity,No Activity
Sobic.003G087600,MYB,Activator,Activator,GRMZM2G096358,Zm00001eb335060,Activator,
Sobic.003G087600,MYB,Activator,Activator,GRMZM2G162709,Zm00001eb125520,No activity,
Sobic.003G129000,MYB,Activator,,GRMZM2G083239,Zm00001eb128750,No activity,
Sobic.003G129000,MYB,Activator,,GRMZM2G312419,Zm00001eb332860,Activator,Activator
Sobic.003G150400,Trihelix,No activity,No Activity,GRMZM2G305362,Zm00001eb340550,No activity,
Sobic.003G150400,Trihelix,No activity,No Activity,GRMZM5G818655,Zm00001eb130740,Activator,
Sobic.003G191800,bHLH,Activator,,GRMZM2G081816,Zm00001eb159960,Activator,
Sobic.003G191800,bHLH,Activator,,GRMZM2G164341,Zm00001eb356930,No activity,
Sobic.003G194600,C2H2,No activity,,GRMZM2G027333,Zm00001eb357220,Activator,
Sobic.003G194600,C2H2,No activity,,GRMZM2G177693,Zm00001eb160120,No activity,
Sobic.003G226600,WRKY,Activator,Activator,GRMZM2G105140,Zm00001eb159410,No activity,
Sobic.003G226600,WRKY,Activator,Activator,GRMZM2G149683,Zm00001eb358680,Activator,Activator
Sobic.003G236701,C3H,Activator,,GRMZM2G157927,Zm00001eb158610,Activator,
Sobic.003G236701,C3H,Activator,,GRMZM5G830949,Zm00001eb359300,No activity,
Sobic.003G253500,Trihelix,No activity,,GRMZM2G080583,Zm00001eb157080,Activator,
Sobic.003G253500,Trihelix,No activity,,GRMZM2G163157,Zm00001eb360120,No activity,No Activity
Sobic.003G254900,NAC,Activator,,GRMZM2G122615,Zm00001eb156890,No activity,
Sobic.003G254900,NAC,Activator,,GRMZM2G163843,Zm00001eb360260,Activator,
Sobic.003G294600,HB-PHD,Activator,,GRMZM2G314546,Zm00001eb153100,Activator,
Sobic.003G294600,HB-PHD,Activator,,GRMZM2G351018,Zm00001eb371020,No activity,No Activity
Sobic.003G298600,ARF,No activity,,GRMZM2G056120,Zm00001eb152940,Activator,
Sobic.003G298600,ARF,No activity,,GRMZM5G874163,Zm00001eb370810,No activity,
Sobic.003G329500,bZIP,Activator,,GRMZM2G019907,Zm00001eb150360,No activity,
Sobic.003G329500,bZIP,Activator,,GRMZM2G125243,Zm00001eb369280,Activator,
Sobic.003G346500,NF-YB,No activity,,GRMZM2G303465,Zm00001eb148850,No activity,
Sobic.003G346500,NF-YB,No activity,,GRMZM5G866699,Zm00001eb368250,Activator,Activator
Sobic.003G365600,MYB_related,Activator,,GRMZM2G027914,Zm00001eb147010,Activator,
Sobic.003G365600,MYB_related,Activator,,GRMZM2G143640,Zm00001eb366790,No activity,No Activity
Sobic.003G408400,TCP,No activity,,GRMZM2G034638,Zm00001eb364110,No activity,
Sobic.003G408400,TCP,No activity,,GRMZM2G092214,Zm00001eb142960,Activator,
Sobic.004G003700,Trihelix,No activity,,GRMZM2G037128,Zm00001eb209880,No activity,
Sobic.004G003700,Trihelix,No activity,,GRMZM2G111760,Zm00001eb229400,Activator,
Sobic.004G012100,bHLH,Activator,Activator,GRMZM2G314882,Zm00001eb209480,No activity,
Sobic.004G012100,bHLH,Activator,Activator,GRMZM5G856837,Zm00001eb229950,Activator,
Sobic.004G107900,bZIP,Activator,Activator,GRMZM2G052102,Zm00001eb204490,Activator,Activator
Sobic.004G107900,bZIP,Activator,Activator,GRMZM2G158313,Zm00001eb238570,No activity,No Activity
Sobic.004G115000,bHLH,No activity,No Activity,GRMZM2G064638,Zm00001eb238140,Activator,
Sobic.004G115000,bHLH,No activity,No Activity,GRMZM2G085751,Zm00001eb204110,No activity,No Activity
Sobic.004G170700,Trihelix,No activity,No Activity,GRMZM2G037823,Zm00001eb243260,No activity,
Sobic.004G170700,Trihelix,No activity,No Activity,GRMZM2G469873,Zm00001eb181760,Activator,
Sobic.004G178500,ARF,No activity,,GRMZM2G137413,Zm00001eb182260,No activity,
Sobic.004G178500,ARF,No activity,,GRMZM2G702026,Zm00001eb243930,Activator,
Sobic.004G191700,NAC,Activator,,GRMZM2G146380,Zm00001eb245030,No activity,
Sobic.004G191700,NAC,Activator,,GRMZM5G898290,Zm00001eb183190,Activator,
Sobic.004G216900,MYB,Activator,Activator,GRMZM2G027697,Zm00001eb247370,Activator,
Sobic.004G216900,MYB,Activator,Activator,GRMZM2G043792,Zm00001eb184890,No activity,No Activity
Sobic.004G228400,bHLH,Activator,,GRMZM2G008691,Zm00001eb193920,No activity,
Sobic.004G228400,bHLH,Activator,,GRMZM2G045883,Zm00001eb255490,Activator,
Sobic.004G273000,G2-like,No activity,,GRMZM2G060834,Zm00001eb251390,No activity,
Sobic.004G273000,G2-like,No activity,,GRMZM2G070865,Zm00001eb187880,Activator,
Sobic.004G279300,MYB_related,No activity,No Activity,GRMZM2G029850,Zm00001eb250940,No activity,No Activity
Sobic.004G279300,MYB_related,No activity,No Activity,GRMZM2G170322,Zm00001eb187450,Activator,
Sobic.004G283300,ERF,No activity,No Activity,GRMZM2G000520,Zm00001eb187190,Activator,
Sobic.004G283300,ERF,No activity,No Activity,GRMZM2G434203,Zm00001eb250530,No activity,
Sobic.005G117400,WRKY,Activator,,GRMZM2G054125,Zm00001eb169470,Activator,
Sobic.005G117400,WRKY,Activator,,GRMZM2G106560,Zm00001eb112840,No activity,
Sobic.006G092100,NAC,No activity,No Activity,GRMZM2G099144,Zm00001eb082040,Activator,
Sobic.006G092100,NAC,No activity,No Activity,GRMZM2G435824,Zm00001eb423160,No activity,No Activity
Sobic.006G115700,WRKY,No activity,,GRMZM2G031963,Zm00001eb424710,No activity,
Sobic.006G115700,WRKY,No activity,,GRMZM5G816457,Zm00001eb079950,Activator,
Sobic.006G149600,ARF,Activator,,GRMZM2G005284,Zm00001eb426740,Activator,
Sobic.006G149600,ARF,Activator,,GRMZM2G122614,Zm00001eb077170,No activity,
Sobic.006G165100,Trihelix,No activity,No Activity,GRMZM2G320827,Zm00001eb075070,No activity,
Sobic.006G165100,Trihelix,No activity,No Activity,GRMZM2G427087,Zm00001eb427790,Activator,
Sobic.006G166100,GATA,Activator,Activator,GRMZM2G077002,Zm00001eb075150,No activity,
Sobic.006G166100,GATA,Activator,Activator,GRMZM2G421212,Zm00001eb427850,Activator,
Sobic.006G203400,GRF,Activator,,GRMZM2G041223,Zm00001eb071830,No activity,
Sobic.006G203400,GRF,Activator,,GRMZM2G129147,Zm00001eb430310,Activator,
Sobic.006G210300,ERF,No activity,,GRMZM2G068967,Zm00001eb071190,Activator,
Sobic.006G210300,ERF,No activity,,GRMZM2G438202,Zm00001eb430640,No activity,
Sobic.006G240500,ERF,No activity,,GRMZM2G174917,Zm00001eb068530,Activator,
Sobic.006G240500,ERF,No activity,,GRMZM2G421033,Zm00001eb432090,No activity,
Sobic.006G240700,AP2,No activity,No Activity,GRMZM2G076602,Zm00001eb432100,No activity,
Sobic.006G240700,AP2,No activity,No Activity,GRMZM2G174784,Zm00001eb068520,Activator,
Sobic.006G247700,SBP,Activator,,GRMZM2G036297,Zm00001eb067740,Activator,
Sobic.006G247700,SBP,Activator,,GRMZM2G058588,Zm00001eb432520,No activity,
Sobic.006G278900,ARF,No activity,,GRMZM2G023813,Zm00001eb434380,Activator,
Sobic.006G278900,ARF,No activity,,GRMZM5G808366,Zm00001eb076420,No activity,
Sobic.007G013800,MIKC_MADS,Activator,,GRMZM2G105387,Zm00001eb173990,Activator,
Sobic.007G013800,MIKC_MADS,Activator,,GRMZM2G117961,Zm00001eb260590,No activity,
Sobic.007G018100,NAC,No activity,No Activity,GRMZM2G069047,Zm00001eb173840,Activator,
Sobic.007G018100,NAC,No activity,No Activity,GRMZM2G092465,Zm00001eb260850,No activity,
Sobic.007G039200,MYB_related,No activity,No Activity,GRMZM2G108892,Zm00001eb416370,No activity,No Activity
Sobic.007G039200,MYB_related,No activity,No Activity,GRMZM2G157306,Zm00001eb172880,Activator,
Sobic.007G135900,bHLH,No activity,No Activity,GRMZM2G107276,Zm00001eb041610,No activity,
Sobic.007G135900,bHLH,No activity,No Activity,GRMZM2G526668,Zm00001eb179590,Activator,
Sobic.007G139200,ZF-HD,No activity,,GRMZM2G353734,Zm00001eb179960,Activator,
Sobic.007G139200,ZF-HD,No activity,,GRMZM2G438438,Zm00001eb041290,No activity,No Activity
Sobic.007G180300,HSF,No activity,,GRMZM2G098696,Zm00001eb198620,No activity,
Sobic.007G180300,HSF,No activity,,GRMZM2G164909,Zm00001eb037600,Activator,
Sobic.007G189400,bHLH,Activator,,GRMZM2G145579,Zm00001eb175540,No activity,
Sobic.007G189400,bHLH,Activator,,GRMZM5G882527,Zm00001eb036990,Activator,
Sobic.007G225600,Trihelix,Activator,,GRMZM2G379179,Zm00001eb033570,No activity,
Sobic.007G225600,Trihelix,Activator,,GRMZM5G850092,Zm00001eb199110,Activator,
Sobic.008G051400,GATA,No activity,No Activity,GRMZM2G067171,Zm00001eb139160,No activity,
Sobic.008G051400,GATA,No activity,No Activity,GRMZM2G118214,Zm00001eb407810,Activator,
Sobic.008G051700,GATA,Activator,,GRMZM2G067171,Zm00001eb139160,No activity,
Sobic.008G051700,GATA,Activator,,GRMZM2G324131,Zm00001eb407830,Activator,Activator
Sobic.008G083200,bZIP,No activity,,GRMZM2G074373,Zm00001eb133640,No activity,
Sobic.008G083200,bZIP,No activity,,GRMZM2G088140,Zm00001eb411700,Activator,
Sobic.008G129300,bZIP,No activity,,GRMZM2G160902,Zm00001eb136980,No activity,
Sobic.008G129300,bZIP,No activity,,GRMZM2G479885,Zm00001eb028430,Activator,
Sobic.008G136100,Dof,No activity,,GRMZM2G123900,Zm00001eb029230,No activity,
Sobic.008G136100,Dof,No activity,,GRMZM2G176063,Zm00001eb136460,Activator,
Sobic.008G168300,NF-YA,No activity,,GRMZM2G104396,Zm00001eb136080,No activity,
Sobic.008G168300,NF-YA,No activity,,GRMZM2G361842,Zm00001eb031690,Activator,
Sobic.009G011000,GRAS,Activator,Activator,GRMZM2G089636,Zm00001eb266930,Activator,Activator
Sobic.009G011000,GRAS,Activator,Activator,GRMZM2G346706,Zm00001eb355860,No activity,
Sobic.009G011100,GRAS,No activity,,GRMZM2G089636,Zm00001eb266930,Activator,Activator
Sobic.009G011100,GRAS,No activity,,GRMZM2G346706,Zm00001eb355860,No activity,
Sobic.009G039100,MYB_related,Activator,,GRMZM2G111306,Zm00001eb354390,No activity,
Sobic.009G039100,MYB_related,Activator,,GRMZM2G121111,Zm00001eb417830,Activator,
Sobic.009G039200,MYB_related,Activator,,GRMZM2G111306,Zm00001eb354390,No activity,
Sobic.009G039200,MYB_related,Activator,,GRMZM2G422083,Zm00001eb417840,Activator,Activator
Sobic.009G039500,MYB_related,Activator,,GRMZM2G111306,Zm00001eb354390,No activity,
Sobic.009G039500,MYB_related,Activator,,GRMZM2G422083,Zm00001eb417840,Activator,Activator
Sobic.009G039600,MYB_related,Activator,,GRMZM2G111306,Zm00001eb354390,No activity,
Sobic.009G039600,MYB_related,Activator,,GRMZM2G422083,Zm00001eb417840,Activator,Activator
Sobic.009G039700,MYB_related,Activator,,GRMZM2G111306,Zm00001eb354390,No activity,
Sobic.009G039700,MYB_related,Activator,,GRMZM2G422083,Zm00001eb417840,Activator,Activator
Sobic.009G039900,MYB_related,No activity,,GRMZM2G030403,Zm00001eb417880,Activator,
Sobic.009G039900,MYB_related,No activity,,GRMZM2G111306,Zm00001eb354390,No activity,
Sobic.009G040000,MYB_related,No activity,,GRMZM2G030403,Zm00001eb417880,Activator,
Sobic.009G040000,MYB_related,No activity,,GRMZM2G111306,Zm00001eb354390,No activity,
Sobic.009G040100,MYB_related,No activity,,GRMZM2G030403,Zm00001eb417880,Activator,
Sobic.009G040100,MYB_related,No activity,,GRMZM2G111306,Zm00001eb354390,No activity,
Sobic.009G073500,bHLH,Activator,,GRMZM2G132550,Zm00001eb284130,Activator,
Sobic.009G073500,bHLH,Activator,,GRMZM2G175480,Zm00001eb347270,No activity,
Sobic.009G073800,bHLH,No activity,,GRMZM2G132550,Zm00001eb284130,Activator,
Sobic.009G073800,bHLH,No activity,,GRMZM2G175480,Zm00001eb347270,No activity,
Sobic.009G140500,NAC,No activity,,GRMZM2G134687,Zm00001eb349120,Activator,
Sobic.009G140500,NAC,No activity,,GRMZM2G147867,Zm00001eb288270,No activity,
Sobic.009G148100,MYB,No activity,,GRMZM2G077789,Zm00001eb289320,No activity,No Activity
Sobic.009G148100,MYB,No activity,,GRMZM2G431156,Zm00001eb348760,Activator,
Sobic.009G151600,ERF,Activator,,GRMZM2G100727,Zm00001eb289170,No activity,
Sobic.009G151600,ERF,Activator,,GRMZM2G457562,Zm00001eb348560,Activator,
Sobic.009G159900,TALE,No activity,,GRMZM2G074645,Zm00001eb347710,Activator,
Sobic.009G159900,TALE,No activity,,GRMZM2G125976,Zm00001eb289480,No activity,
Sobic.009G166200,NF-YB,No activity,,GRMZM2G064426,Zm00001eb351690,No activity,
Sobic.009G166200,NF-YB,No activity,,GRMZM5G804893,Zm00001eb289850,Activator,
Sobic.009G184300,ERF,No activity,,GRMZM2G020016,Zm00001eb291720,No activity,
Sobic.009G184300,ERF,No activity,,GRMZM2G066158,Zm00001eb352570,Activator,
Sobic.009G199300,LBD,No activity,,GRMZM2G073044,Zm00001eb353230,No activity,
Sobic.009G199300,LBD,No activity,,GRMZM2G386674,Zm00001eb292980,Activator,
Sobic.009G200500,HB-PHD,Activator,,GRMZM2G094935,Zm00001eb293860,Activator,
Sobic.009G200500,HB-PHD,Activator,,GRMZM2G136369,Zm00001eb353320,No activity,
Sobic.009G206800,WRKY,No activity,No Activity,GRMZM2G015433,Zm00001eb353670,No activity,
Sobic.009G206800,WRKY,No activity,No Activity,GRMZM2G401521,Zm00001eb293420,Activator,
Sobic.009G238500,ERF,Activator,Activator,GRMZM2G100982,Zm00001eb344200,No activity,No Activity
Sobic.009G238500,ERF,Activator,Activator,GRMZM5G846057,Zm00001eb296430,Activator,Activator
Sobic.010G030200,HD-ZIP,No activity,,GRMZM2G068672,Zm00001eb270270,No activity,
Sobic.010G030200,HD-ZIP,No activity,,GRMZM2G134260,Zm00001eb377480,Activator,
Sobic.010G081800,bZIP,Activator,Activator,GRMZM2G008166,Zm00001eb279120,No activity,No Activity
Sobic.010G081800,bZIP,Activator,Activator,GRMZM2G033413,Zm00001eb373300,Activator,
Sobic.010G191900,ARR-B,Activator,Activator,GRMZM2G360523,Zm00001eb388280,No activity,
Sobic.010G191900,ARR-B,Activator,Activator,GRMZM2G401835,Zm00001eb275780,Activator,Activator
Sobic.010G192200,ARR-B,Activator,Activator,GRMZM2G360523,Zm00001eb388280,No activity,
Sobic.010G192200,ARR-B,Activator,Activator,GRMZM2G401835,Zm00001eb275780,Activator,Activator
Sobic.010G261700,SRS,No activity,No Activity,GRMZM2G097683,Zm00001eb227800,Activator,
Sobic.010G261700,SRS,No activity,No Activity,GRMZM2G108798,Zm00001eb272500,No activity,
